,county,state,Cluster
788,Columbia County,New York,3
789,Adams County,Pennsylvania,3
790,McIntosh County,Georgia,3
791,Davie County,North Carolina,3
792,Northumberland County,Pennsylvania,3
793,Rappahannock County,Virginia,3
794,Burke County,North Carolina,3
795,Mason County,Washington,3
796,Brooks County,Georgia,3
797,Okanogan County,Washington,3
798,Armstrong County,Pennsylvania,3
799,Floyd County,Virginia,3
800,Fannin County,Georgia,3
801,Glades County,Florida,3
802,Gulf County,Florida,3
803,Madison County,North Carolina,3
804,Wallowa County,Oregon,3
805,Potter County,Pennsylvania,3
806,Franklin County,Virginia,3
807,Pickens County,Georgia,3
808,Pike County,Pennsylvania,3
809,Giles County,Virginia,3
810,Roanoke County,Virginia,3
811,Lincoln County,Washington,3
812,Northumberland County,Virginia,3
813,Brunswick County,North Carolina,3
814,Jefferson County,Florida,3
815,Manatee County,Florida,3
816,Mifflin County,Pennsylvania,3
817,Delaware County,New York,3
818,Cambria County,Pennsylvania,3
819,Jackson County,Oregon,3
820,Halifax County,Virginia,3
821,Miller County,Georgia,3
822,Bertie County,North Carolina,3
823,Mercer County,Pennsylvania,3
824,McDowell County,North Carolina,3
825,Marion County,Florida,3
826,Martin County,Florida,3
827,Marion County,Georgia,3
828,Shenandoah County,Virginia,3
829,Jones County,North Carolina,3
830,Essex County,New York,3
831,Fulton County,New York,3
832,Levy County,Florida,3
833,Sherman County,Oregon,3
834,Schuyler County,New York,3
835,Lake County,Florida,3
836,Bradford County,Pennsylvania,3
837,Russell County,Virginia,3
838,Bladen County,North Carolina,3
839,Scott County,Virginia,3
840,Lee County,Florida,3
841,Morgan County,Georgia,3
842,Klickitat County,Washington,3
843,Union County,Oregon,3
844,Clay County,Georgia,3
845,Rolette County,North Dakota,2
846,Dyer County,Tennessee,2
847,Alleghany County,North Carolina,2
848,Swift County,Minnesota,2
849,Abbeville County,South Carolina,2
850,Pierce County,North Dakota,2
851,Wilkin County,Minnesota,2
852,Greene County,Tennessee,2
853,Fentress County,Tennessee,2
854,Stevens County,Minnesota,2
855,Traverse County,Minnesota,2
856,Ramsey County,North Dakota,2
857,Grainger County,Tennessee,2
858,Renville County,North Dakota,2
859,Gibson County,Tennessee,2
860,Franklin County,Tennessee,2
861,Richland County,North Dakota,2
862,Watonwan County,Minnesota,2
863,Covington County,Mississippi,2
864,Yellow Medicine County,Minnesota,2
865,Lawrence County,Mississippi,2
866,Logan County,North Dakota,2
867,Humphreys County,Mississippi,2
868,Itawamba County,Mississippi,2
869,Benton County,Tennessee,2
870,Bedford County,Tennessee,2
871,Jefferson Davis County,Mississippi,2
872,Chester County,South Carolina,2
873,Yankton County,South Dakota,2
874,Chesterfield County,South Carolina,2
875,Walworth County,South Dakota,2
876,Kidder County,North Dakota,2
877,McHenry County,North Dakota,2
878,Hettinger County,North Dakota,2
879,Griggs County,North Dakota,2
880,Grant County,North Dakota,2
881,Tripp County,South Dakota,2
882,Leflore County,Mississippi,2
883,Todd County,South Dakota,2
884,Marion County,Mississippi,2
885,Spink County,South Dakota,2
886,Golden Valley County,North Dakota,2
887,Sanborn County,South Dakota,2
888,Bradley County,Tennessee,2
889,McIntosh County,North Dakota,2
890,Adams County,Mississippi,2
891,Coffee County,Tennessee,2
892,DeKalb County,Tennessee,2
893,Decatur County,Tennessee,2
894,Allendale County,South Carolina,2
895,Bamberg County,South Carolina,2
896,Bolivar County,Mississippi,2
897,Oliver County,North Dakota,2
898,Nelson County,North Dakota,2
899,Crockett County,Tennessee,2
900,Ashe County,North Carolina,2
901,Mountrail County,North Dakota,2
902,Morton County,North Dakota,2
903,McKenzie County,North Dakota,2
904,Cocke County,Tennessee,2
905,Barnwell County,South Carolina,2
906,Claiborne County,Tennessee,2
907,Grundy County,Tennessee,2
908,Chester County,Tennessee,2
909,Mercer County,North Dakota,2
910,McLean County,North Dakota,2
911,Carter County,Tennessee,2
912,Carroll County,Tennessee,2
913,Cannon County,Tennessee,2
914,Sheridan County,North Dakota,2
915,Garfield County,Nebraska,2
916,Sioux County,North Dakota,2
917,Highland County,Ohio,2
918,Pike County,Ohio,2
919,Harper County,Oklahoma,2
920,Lake County,Tennessee,2
921,Perry County,Ohio,2
922,Chippewa County,Minnesota,2
923,Haskell County,Oklahoma,2
924,Muskingum County,Ohio,2
925,Morgan County,Ohio,2
926,Cook County,Minnesota,2
927,Cottonwood County,Minnesota,2
928,Crow Wing County,Minnesota,2
929,Latimer County,Oklahoma,2
930,Le Flore County,Oklahoma,2
931,Jefferson County,Tennessee,2
932,Logan County,Ohio,2
933,Lincoln County,Oklahoma,2
934,Knox County,Ohio,2
935,Jackson County,Tennessee,2
936,Jackson County,Ohio,2
937,Huron County,Ohio,2
938,Love County,Oklahoma,2
939,Hocking County,Ohio,2
940,Freeborn County,Minnesota,2
941,Big Stone County,Minnesota,2
942,Harmon County,Oklahoma,2
943,Grant County,Oklahoma,2
944,Ellis County,Oklahoma,2
945,Union County,New Mexico,2
946,Cimarron County,Oklahoma,2
947,Beaver County,Oklahoma,2
948,Alfalfa County,Oklahoma,2
949,Marshall County,Tennessee,2
950,Craig County,Oklahoma,2
951,Marion County,Tennessee,2
952,Creek County,Oklahoma,2
953,Shiawassee County,Michigan,2
954,Delaware County,Oklahoma,2
955,Union County,Ohio,2
956,Lincoln County,Tennessee,2
957,Tuscarawas County,Ohio,2
958,Macon County,Tennessee,2
959,McNairy County,Tennessee,2
960,Garfield County,Oklahoma,2
961,Shelby County,Ohio,2
962,Seneca County,Ohio,2
963,Scioto County,Ohio,2
964,Aitkin County,Minnesota,2
965,Sandusky County,Ohio,2
966,Ross County,Ohio,2
967,Humphreys County,Tennessee,2
968,Hardin County,Ohio,2
969,Hamblen County,Tennessee,2
970,Houston County,Tennessee,2
971,Martin County,Minnesota,2
972,Pittsburg County,Oklahoma,2
973,Mille Lacs County,Minnesota,2
974,Morrison County,Minnesota,2
975,Williams County,North Dakota,2
976,Hawkins County,Tennessee,2
977,Wells County,North Dakota,2
978,Ward County,North Dakota,2
979,Murray County,Minnesota,2
980,Hardin County,Tennessee,2
981,Nobles County,Minnesota,2
982,Traill County,North Dakota,2
983,Norman County,Minnesota,2
984,Towner County,North Dakota,2
985,Cameron County,Pennsylvania,2
986,Hancock County,Tennessee,2
987,Pine County,Minnesota,2
988,Stutsman County,North Dakota,2
989,Polk County,Minnesota,2
990,Pope County,Minnesota,2
991,Hamilton County,Tennessee,2
992,Steele County,North Dakota,2
993,Stark County,North Dakota,2
994,Ashtabula County,Ohio,2
995,Auglaize County,Ohio,2
996,Henderson County,Tennessee,2
997,Greene County,Pennsylvania,2
998,McCurtain County,Oklahoma,2
999,Major County,Oklahoma,2
1000,Montgomery County,New York,2
1001,Marshall County,Oklahoma,2
1002,Mayes County,Oklahoma,2
1003,Fayette County,Ohio,2
1004,Itasca County,Minnesota,2
1005,Jackson County,Minnesota,2
1006,Kanabec County,Minnesota,2
1007,Kandiyohi County,Minnesota,2
1008,Nowata County,Oklahoma,2
1009,Lyon County,Minnesota,2
1010,Koochiching County,Minnesota,2
1011,Lac qui Parle County,Minnesota,2
1012,Darke County,Ohio,2
1013,Okfuskee County,Oklahoma,2
1014,Clinton County,Ohio,2
1015,Ottawa County,Oklahoma,2
1016,Carroll County,Ohio,2
1017,Pawnee County,Oklahoma,2
1018,Brown County,Ohio,2
1019,Eddy County,New Mexico,2
1020,Roberts County,South Dakota,2
1021,Hyde County,South Dakota,2
1022,Potter County,South Dakota,2
1023,Woodward County,Oklahoma,2
1024,Lee County,South Carolina,2
1025,Broadwater County,Montana,2
1026,Carbon County,Montana,2
1027,Carter County,Montana,2
1028,Cascade County,Montana,2
1029,Chouteau County,Montana,2
1030,Scotts Bluff County,Nebraska,2
1031,Woods County,Oklahoma,2
1032,Daniels County,Montana,2
1033,Dawson County,Montana,2
1034,Saunders County,Nebraska,2
1035,Deer Lodge County,Montana,2
1036,Fallon County,Montana,2
1037,Maury County,Tennessee,2
1038,Big Horn County,Montana,2
1039,Fergus County,Montana,2
1040,Rockingham County,North Carolina,2
1041,Gallatin County,Montana,2
1042,Rock County,Nebraska,2
1043,Garfield County,Montana,2
1044,Aurora County,South Dakota,2
1045,Golden Valley County,Montana,2
1046,Hill County,Montana,2
1047,Jefferson County,Montana,2
1048,Judith Basin County,Montana,2
1049,Lewis and Clark County,Montana,2
1050,Marion County,South Carolina,2
1051,Liberty County,Montana,2
1052,Blaine County,Montana,2
1053,Beaverhead County,Montana,2
1054,Wheeler County,Nebraska,2
1055,Shelby County,Missouri,2
1056,Buffalo County,South Dakota,2
1057,St. Clair County,Missouri,2
1058,Brule County,South Dakota,2
1059,Brown County,South Dakota,2
1060,Bon Homme County,South Dakota,2
1061,Wayne County,Nebraska,2
1062,Bennett County,South Dakota,2
1063,Valley County,Nebraska,2
1064,Thurston County,Nebraska,2
1065,Beadle County,South Dakota,2
1066,Scott County,Missouri,2
1067,Thomas County,Nebraska,2
1068,Shannon County,Missouri,2
1069,Stoddard County,Missouri,2
1070,Wright County,Missouri,2
1071,Thayer County,Nebraska,2
1072,Sullivan County,Missouri,2
1073,Stanton County,Nebraska,2
1074,Texas County,Missouri,2
1075,Vernon County,Missouri,2
1076,Sioux County,Nebraska,2
1077,Warren County,Missouri,2
1078,Washington County,Missouri,2
1079,Wayne County,Missouri,2
1080,Webster County,Missouri,2
1081,Hyde County,North Carolina,2
1082,Sheridan County,Nebraska,2
1083,Scotland County,North Carolina,2
1084,McCone County,Montana,2
1085,Pierce County,Nebraska,2
1086,Madison County,Montana,2
1087,Cherry County,Nebraska,2
1088,Logan County,Nebraska,2
1089,Boone County,Nebraska,2
1090,Lincoln County,Nebraska,2
1091,Marlboro County,South Carolina,2
1092,Knox County,Nebraska,2
1093,Box Butte County,Nebraska,2
1094,Kimball County,Nebraska,2
1095,Brown County,Nebraska,2
1096,Union County,South Carolina,2
1097,Macon County,North Carolina,2
1098,Sumter County,South Carolina,2
1099,Cedar County,Nebraska,2
1100,Oconee County,South Carolina,2
1101,Cheyenne County,Nebraska,2
1102,Meagher County,Montana,2
1103,Jefferson County,Nebraska,2
1104,Cuming County,Nebraska,2
1105,Custer County,Nebraska,2
1106,Hooker County,Nebraska,2
1107,Dakota County,Nebraska,2
1108,Dawes County,Nebraska,2
1109,Holt County,Nebraska,2
1110,Dixon County,Nebraska,2
1111,Dodge County,Nebraska,2
1112,Orangeburg County,South Carolina,2
1113,Greeley County,Nebraska,2
1114,Grant County,Nebraska,2
1115,Gage County,Nebraska,2
1116,Blaine County,Nebraska,2
1117,Banner County,Nebraska,2
1118,Antelope County,Nebraska,2
1119,Yellowstone County,Montana,2
1120,Musselshell County,Montana,2
1121,Otoe County,Nebraska,2
1122,Park County,Montana,2
1123,Petroleum County,Montana,2
1124,Phillips County,Montana,2
1125,Pondera County,Montana,2
1126,Nuckolls County,Nebraska,2
1127,Powder River County,Montana,2
1128,Coos County,Oregon,2
1129,Powell County,Montana,2
1130,Ravalli County,Montana,2
1131,Richland County,Montana,2
1132,Roosevelt County,Montana,2
1133,Rosebud County,Montana,2
1134,Sanders County,Montana,2
1135,Morrill County,Nebraska,2
1136,Sheridan County,Montana,2
1137,Silver Bow County,Montana,2
1138,Stillwater County,Montana,2
1139,Lenoir County,North Carolina,2
1140,Teton County,Montana,2
1141,Toole County,Montana,2
1142,Madison County,Nebraska,2
1143,Valley County,Montana,2
1144,Loup County,Nebraska,2
1145,Wheatland County,Montana,2
1146,Wibaux County,Montana,2
1147,Ripley County,Missouri,2
1148,Reynolds County,Missouri,2
1149,Perkins County,South Dakota,2
1150,Harding County,South Dakota,2
1151,Cavalier County,North Dakota,2
1152,Andrew County,Missouri,2
1153,Roger Mills County,Oklahoma,2
1154,Burleigh County,North Dakota,2
1155,Burke County,North Dakota,2
1156,Bowman County,North Dakota,2
1157,Audrain County,Missouri,2
1158,Barry County,Missouri,2
1159,Barton County,Missouri,2
1160,Bottineau County,North Dakota,2
1161,Bates County,Missouri,2
1162,Benton County,Missouri,2
1163,Benson County,North Dakota,2
1164,Buchanan County,Missouri,2
1165,Garden County,Nebraska,2
1166,Butler County,Missouri,2
1167,Caldwell County,Missouri,2
1168,Callaway County,Missouri,2
1169,Camden County,Missouri,2
1170,Hanson County,South Dakota,2
1171,Carroll County,Missouri,2
1172,Carter County,Missouri,2
1173,Hand County,South Dakota,2
1174,Cedar County,Missouri,2
1175,Belknap County,New Hampshire,2
1176,Chariton County,Missouri,2
1177,Christian County,Missouri,2
1178,Clark County,Missouri,2
1179,Hutchinson County,South Dakota,2
1180,Jackson County,South Dakota,2
1181,Butte County,South Dakota,2
1182,McCook County,South Dakota,2
1183,Foster County,North Dakota,2
1184,Emmons County,North Dakota,2
1185,Pennington County,South Dakota,2
1186,Darlington County,South Carolina,2
1187,Pike County,Mississippi,2
1188,Miner County,South Dakota,2
1189,Prentiss County,Mississippi,2
1190,Mellette County,South Dakota,2
1191,Eddy County,North Dakota,2
1192,Dillon County,South Carolina,2
1193,Meade County,South Dakota,2
1194,Marshall County,South Dakota,2
1195,McPherson County,South Dakota,2
1196,Smith County,Mississippi,2
1197,Wilkinson County,Mississippi,2
1198,Stone County,Mississippi,2
1199,Sunflower County,Mississippi,2
1200,Lyman County,South Dakota,2
1201,Dunn County,North Dakota,2
1202,Lawrence County,South Dakota,2
1203,Divide County,North Dakota,2
1204,Tunica County,Mississippi,2
1205,Dickey County,North Dakota,2
1206,Walthall County,Mississippi,2
1207,Kingsbury County,South Dakota,2
1208,Washington County,Mississippi,2
1209,Jones County,South Dakota,2
1210,Jerauld County,South Dakota,2
1211,Hamlin County,South Dakota,2
1212,Haakon County,South Dakota,2
1213,Adams County,North Dakota,2
1214,Newton County,Missouri,2
1215,Livingston County,Missouri,2
1216,McDonald County,Missouri,2
1217,Macon County,Missouri,2
1218,Davison County,South Dakota,2
1219,Tillamook County,Oregon,2
1220,Marion County,Missouri,2
1221,Mercer County,Missouri,2
1222,Miller County,Missouri,2
1223,Mississippi County,Missouri,2
1224,Hampton County,South Carolina,2
1225,Monroe County,Missouri,2
1226,Morgan County,Missouri,2
1227,Texas County,Oklahoma,2
1228,Corson County,South Dakota,2
1229,Grant County,South Dakota,2
1230,Oregon County,Missouri,2
1231,Codington County,South Dakota,2
1232,Ozark County,Missouri,2
1233,Clark County,South Dakota,2
1234,Pettis County,Missouri,2
1235,Phelps County,Missouri,2
1236,Jasper County,South Carolina,2
1237,Charles Mix County,South Dakota,2
1238,Campbell County,South Dakota,2
1239,Washington County,Oklahoma,2
1240,Pulaski County,Missouri,2
1241,Ralls County,Missouri,2
1242,Randolph County,Missouri,2
1243,Linn County,Missouri,2
1244,Day County,South Dakota,2
1245,Lewis County,Missouri,2
1246,Lawrence County,Missouri,2
1247,Crawford County,Missouri,2
1248,Dade County,Missouri,2
1249,Dallas County,Missouri,2
1250,Daviess County,Missouri,2
1251,DeKalb County,Missouri,2
1252,Dent County,Missouri,2
1253,Douglas County,Missouri,2
1254,Faulk County,South Dakota,2
1255,Franklin County,Missouri,2
1256,Florence County,South Carolina,2
1257,Columbus County,North Carolina,2
1258,Fall River County,South Dakota,2
1259,Grundy County,Missouri,2
1260,Harrison County,Missouri,2
1261,Henry County,Missouri,2
1262,Currituck County,North Carolina,2
1263,Hickory County,Missouri,2
1264,Holt County,Missouri,2
1265,Edmunds County,South Dakota,2
1266,Howell County,Missouri,2
1267,Iron County,Missouri,2
1268,Douglas County,South Dakota,2
1269,Jasper County,Missouri,2
1270,Johnson County,Missouri,2
1271,Sequoyah County,Oklahoma,2
1272,Laclede County,Missouri,2
1273,Deuel County,South Dakota,2
1274,Polk County,Missouri,2
1275,Carter County,Oklahoma,2
1276,Sac County,Iowa,2
1277,Clay County,Iowa,2
1278,Clark County,Wisconsin,2
1279,Adams County,Iowa,2
1280,Allamakee County,Iowa,2
1281,Audubon County,Iowa,2
1282,Crawford County,Wisconsin,2
1283,Rains County,Texas,2
1284,Buena Vista County,Iowa,2
1285,Calhoun County,Iowa,2
1286,Carroll County,Iowa,2
1287,Cass County,Iowa,2
1288,Cherokee County,Iowa,2
1289,Dodge County,Wisconsin,2
1290,Clayton County,Iowa,2
1291,Lewis County,West Virginia,2
1292,Decatur County,Iowa,2
1293,Fond du Lac County,Wisconsin,2
1294,Des Moines County,Iowa,2
1295,Dickinson County,Iowa,2
1296,Emmet County,Iowa,2
1297,Greene County,Iowa,2
1298,Guthrie County,Iowa,2
1299,Hamilton County,Iowa,2
1300,Harrison County,Iowa,2
1301,Henry County,Iowa,2
1302,Humboldt County,Iowa,2
1303,Ida County,Iowa,2
1304,Wells County,Indiana,2
1305,Wayne County,Indiana,2
1306,Roberts County,Texas,2
1307,Vigo County,Indiana,2
1308,Huntington County,Indiana,2
1309,Jasper County,Indiana,2
1310,Jay County,Indiana,2
1311,Knox County,Indiana,2
1312,Ritchie County,West Virginia,2
1313,Upshur County,West Virginia,2
1314,Wayne County,West Virginia,2
1315,Marshall County,Indiana,2
1316,Siskiyou County,California,2
1317,Sierra County,California,2
1318,Smith County,Texas,2
1319,Sherman County,Texas,2
1320,Parke County,Indiana,2
1321,Scurry County,Texas,2
1322,Wirt County,West Virginia,2
1323,Posey County,Indiana,2
1324,Pulaski County,Indiana,2
1325,Randolph County,Indiana,2
1326,Adams County,Wisconsin,2
1327,Rush County,Indiana,2
1328,Shelby County,Indiana,2
1329,Starke County,Indiana,2
1330,Sullivan County,Indiana,2
1331,Barron County,Wisconsin,2
1332,Vermillion County,Indiana,2
1333,Jasper County,Iowa,2
1334,Kossuth County,Iowa,2
1335,Lee County,Iowa,2
1336,Barton County,Kansas,2
1337,Chase County,Kansas,2
1338,Chautauqua County,Kansas,2
1339,Cherokee County,Kansas,2
1340,Clark County,Kansas,2
1341,Cloud County,Kansas,2
1342,Crawford County,Kansas,2
1343,Decatur County,Kansas,2
1344,Dickinson County,Kansas,2
1345,Doniphan County,Kansas,2
1346,Polk County,Arkansas,2
1347,Ellis County,Kansas,2
1348,Ellsworth County,Kansas,2
1349,Finney County,Kansas,2
1350,Ford County,Kansas,2
1351,Manitowoc County,Wisconsin,2
1352,Gove County,Kansas,2
1353,Graham County,Kansas,2
1354,Grant County,Kansas,2
1355,Gray County,Kansas,2
1356,Greeley County,Kansas,2
1357,Hamilton County,Kansas,2
1358,Marathon County,Wisconsin,2
1359,Haskell County,Kansas,2
1360,Hodgeman County,Kansas,2
1361,Ouachita County,Arkansas,2
1362,Bourbon County,Kansas,2
1363,Atchison County,Kansas,2
1364,Ochiltree County,Texas,2
1365,Anderson County,Kansas,2
1366,Jefferson County,Wisconsin,2
1367,Yell County,Arkansas,2
1368,Juneau County,Wisconsin,2
1369,Montgomery County,Iowa,2
1370,Muscatine County,Iowa,2
1371,O'Brien County,Iowa,2
1372,Osceola County,Iowa,2
1373,Palo Alto County,Iowa,2
1374,Plymouth County,Iowa,2
1375,Pocahontas County,Iowa,2
1376,Pottawattamie County,Iowa,2
1377,Poweshiek County,Iowa,2
1378,Ringgold County,Iowa,2
1379,Union County,Arkansas,2
1380,Sioux County,Iowa,2
1381,Sevier County,Arkansas,2
1382,Mitchell County,Texas,2
1383,Sebastian County,Arkansas,2
1384,Scott County,Arkansas,2
1385,Wayne County,Iowa,2
1386,Webster County,Iowa,2
1387,Winneshiek County,Iowa,2
1388,Woodbury County,Iowa,2
1389,Wright County,Iowa,2
1390,Allen County,Kansas,2
1391,Henry County,Indiana,2
1392,Kanawha County,West Virginia,2
1393,Nevada County,Arkansas,2
1394,Canyon County,Idaho,2
1395,Turner County,Georgia,2
1396,Upson County,Georgia,2
1397,Walker County,Georgia,2
1398,Catoosa County,Georgia,2
1399,Washington County,Georgia,2
1400,Wheeler County,Georgia,2
1401,Whitfield County,Georgia,2
1402,Wilcox County,Georgia,2
1403,Ada County,Idaho,2
1404,Bear Lake County,Idaho,2
1405,Blaine County,Idaho,2
1406,Camas County,Idaho,2
1407,Camden County,Georgia,2
1408,Fulton County,Indiana,2
1409,Cassia County,Idaho,2
1410,Clark County,Idaho,2
1411,Elmore County,Idaho,2
1412,Butts County,Georgia,2
1413,Franklin County,Idaho,2
1414,Washington County,Virginia,2
1415,Fremont County,Idaho,2
1416,Gem County,Idaho,2
1417,Gooding County,Idaho,2
1418,Jerome County,Idaho,2
1419,Kootenai County,Idaho,2
1420,Lincoln County,Idaho,2
1421,Troup County,Georgia,2
1422,Telfair County,Georgia,2
1423,Taylor County,Georgia,2
1424,Talbot County,Georgia,2
1425,Heard County,Georgia,2
1426,Gordon County,Georgia,2
1427,Jackson County,Georgia,2
1428,Jeff Davis County,Georgia,2
1429,Jefferson County,Georgia,2
1430,Jenkins County,Georgia,2
1431,Johnson County,Georgia,2
1432,King George County,Virginia,2
1433,Glascock County,Georgia,2
1434,Gilmer County,Georgia,2
1435,Laurens County,Georgia,2
1436,Franklin County,Georgia,2
1437,Floyd County,Georgia,2
1438,Madison County,Georgia,2
1439,Elbert County,Georgia,2
1440,Meriwether County,Georgia,2
1441,Montgomery County,Georgia,2
1442,Murray County,Georgia,2
1443,Dodge County,Georgia,2
1444,Grayson County,Virginia,2
1445,Dade County,Georgia,2
1446,Crisp County,Georgia,2
1447,Colquitt County,Georgia,2
1448,Screven County,Georgia,2
1449,Chattooga County,Georgia,2
1450,Minidoka County,Idaho,2
1451,Alleghany County,Virginia,2
1452,Ben Hill County,Georgia,2
1453,Emery County,Utah,2
1454,Carbon County,Utah,2
1455,Pike County,Illinois,2
1456,Pulaski County,Illinois,2
1457,Richland County,Illinois,2
1458,Bradford County,Florida,2
1459,Moore County,Tennessee,2
1460,Saline County,Illinois,2
1461,Schuyler County,Illinois,2
1462,Scott County,Illinois,2
1463,Washington County,Illinois,2
1464,White County,Illinois,2
1465,Adams County,Indiana,2
1466,Bartholomew County,Indiana,2
1467,Doddridge County,West Virginia,2
1468,Wheeler County,Texas,2
1469,Clay County,Indiana,2
1470,Rio Blanco County,Colorado,2
1471,Fayette County,West Virginia,2
1472,Decatur County,Indiana,2
1473,DeKalb County,Indiana,2
1474,Gilmer County,West Virginia,2
1475,Harrison County,West Virginia,2
1476,Fayette County,Indiana,2
1477,Van Zandt County,Texas,2
1478,Jackson County,West Virginia,2
1479,Hardee County,Florida,2
1480,Holmes County,Florida,2
1481,Owyhee County,Idaho,2
1482,Mason County,Illinois,2
1483,Bartow County,Georgia,2
1484,Twin Falls County,Idaho,2
1485,Washington County,Idaho,2
1486,Adams County,Illinois,2
1487,Brown County,Illinois,2
1488,Cass County,Illinois,2
1489,Clark County,Illinois,2
1490,Coles County,Illinois,2
1491,Crawford County,Illinois,2
1492,Banks County,Georgia,2
1493,Edgar County,Illinois,2
1494,Gallatin County,Illinois,2
1495,Greene County,Illinois,2
1496,Hamilton County,Illinois,2
1497,Hancock County,Illinois,2
1498,Hardin County,Illinois,2
1499,Jefferson County,Illinois,2
1500,Johnson County,Illinois,2
1501,Washington County,Florida,2
1502,Uintah County,Utah,2
1503,Sevier County,Utah,2
1504,Lawrence County,Illinois,2
1505,Madison County,Florida,2
1506,Millard County,Utah,2
1507,Juab County,Utah,2
1508,Jewell County,Kansas,2
1509,Haralson County,Georgia,2
1510,Kearny County,Kansas,2
1511,Lincoln County,Kentucky,2
1512,Hansford County,Texas,2
1513,Collingsworth County,Texas,2
1514,Magoffin County,Kentucky,2
1515,Martin County,Kentucky,2
1516,Jackson County,Louisiana,2
1517,Hall County,Texas,2
1518,Clay County,Alabama,2
1519,Menifee County,Kentucky,2
1520,Platte County,Wyoming,2
1521,Aroostook County,Maine,2
1522,Cleburne County,Alabama,2
1523,Wood County,Wisconsin,2
1524,Albany County,Wyoming,2
1525,Iberia County,Louisiana,2
1526,Big Horn County,Wyoming,2
1527,Park County,Wyoming,2
1528,Van Buren County,Tennessee,2
1529,Morgan County,Kentucky,2
1530,Warren County,Tennessee,2
1531,Jefferson Davis County,Louisiana,2
1532,Walworth County,Wisconsin,2
1533,Monroe County,Alabama,2
1534,Vernon County,Wisconsin,2
1535,Houston County,Texas,2
1536,Baxter County,Arkansas,2
1537,Catahoula County,Louisiana,2
1538,Chambers County,Alabama,2
1539,Sheboygan County,Wisconsin,2
1540,Taylor County,Wisconsin,2
1541,Lowndes County,Alabama,2
1542,Jackson County,Kentucky,2
1543,Hemphill County,Texas,2
1544,Johnson County,Kentucky,2
1545,Cherokee County,Alabama,2
1546,Hillsdale County,Michigan,2
1547,Knott County,Kentucky,2
1548,Knox County,Kentucky,2
1549,Weston County,Wyoming,2
1550,Sheridan County,Wyoming,2
1551,Laurel County,Kentucky,2
1552,Lawrence County,Kentucky,2
1553,Lee County,Kentucky,2
